LastIter,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r),AoA,Solver,Time,GridLevel,Mach,Cl upper,Cl lower,Cd upper,Cd lower,CmPitch upper,CmPitch lower,Grid Level
14656.0,0.3025586,0.1505887,0.1519698,-0.001261613,0.001786447,-0.00304806,0.002417254,-0.0006905603,1.552663,-0.3526782,1.376324,-1.729003,0.0,rhoCentralFoam,34,R1,0.6,-0.0015139355999999999,-0.0010092904,0.36307032,0.24204688000000002,0.0029007048000000003,0.0019338032000000003,R1
15896.0,0.3225571,0.161292,0.1612651,-0.0004880946,0.001554634,-0.002042729,0.001798681,1.34544e-05,1.52656,-0.34299,1.355065,-1.698055,0.0,rhoCentralFoam,43,R1,0.9,-0.00058571352,-0.00039047568000000004,0.38706851999999997,0.25804568,0.0021584172,0.0014389448000000002,R1
23960.0,0.3927389,0.1962991,0.1964397,-0.0009675582,0.001393543,-0.002361101,0.001877322,-7.029246e-05,1.697907,-0.3042704,1.545772,-1.850043,0.0,rhoCentralFoam,46,R1,0.99,-0.00116106984,-0.0007740465600000001,0.47128667999999996,0.31419112000000005,0.0022527864,0.0015018576,R1
13885.0,0.4372513,0.2174741,0.2197772,-0.0003360364,0.001028048,-0.001364084,0.001196066,-0.001151539,1.192385,-0.2027042,1.091033,-1.293737,0.0,rhoCentralFoam,49,R1,1.1,-0.00040324367999999995,-0.00026882912,0.52470156,0.34980104,0.0014352791999999999,0.0009568528000000001,R1
100000.0,0.4112615,0.2049707,0.2062908,5.771693e-05,0.001872608,-0.001814892,0.00184375,-0.0006600271,-0.8941554,0.08439682,-0.851957,0.9363539,0.0,rhoCentralFoam,61,R1,1.67,6.9260316e-05,4.6173544e-05,0.4935138,0.3290092,0.0022124999999999996,0.001475,R1
300000.0,0.17735,0.0885694,0.0887806,-8.762325e-07,0.00203146,-0.002032337,0.002031899,-0.000105604,-1.267362,0.158561,-1.188082,1.346643,0.0,rhoCentralFoam,107,R1,4.51,-1.051479e-06,-7.009860000000001e-07,0.21282,0.14188,0.0024382788,0.0016255192000000003,R1
14155.0,0.3024469,0.1520651,0.1503818,-0.1875704,-1.143181,0.9556107,-1.049396,0.0008416444,1.90548,-0.4226286,1.694166,-2.116795,4.0,rhoCentralFoam,34,R1,0.6,-0.22508447999999998,-0.15005632000000002,0.36293628,0.24195752000000004,-1.2592752,-0.8395168000000001,R1
16141.0,0.3258586,0.1645696,0.161289,-0.169483,-1.060768,0.8912849,-0.9760264,0.001640325,1.881269,-0.4136801,1.674429,-2.088109,4.0,rhoCentralFoam,43,R1,0.9,-0.2033796,-0.1355864,0.39103032,0.26068688,-1.17123168,-0.78082112,R1
25268.0,0.3926305,0.1978406,0.1947899,-0.1653857,-1.057552,0.8921664,-0.9748593,0.001525378,2.046959,-0.377389,1.858264,-2.235653,4.0,rhoCentralFoam,46,R1,0.99,-0.19846284,-0.13230856,0.4711566,0.3141044,-1.16983116,-0.77988744,R1
14538.0,0.4377243,0.219291,0.2184333,-0.16092,-1.062834,0.9019145,-0.9823744,0.000428852,1.551417,-0.2771559,1.41284,-1.689995,4.0,rhoCentralFoam,49,R1,1.1,-0.193104,-0.12873600000000002,0.52526916,0.35017944,-1.1788492799999999,-0.7858995200000001,R1
100000.0,0.408299,0.2045632,0.2037357,-0.2741315,-1.647058,1.372927,-1.509993,0.0004137593,-0.6730823,0.03532688,-0.6554189,0.6907458,4.0,rhoCentralFoam,61,R1,1.67,-0.32895779999999997,-0.21930519999999998,0.4899588,0.3266392,-1.8119915999999998,-1.2079944,R1
300000.0,0.1764678,0.08951207,0.08695572,-0.1829043,-1.12165,0.9387456,-1.030198,0.001278172,-1.207645,0.1395236,-1.137883,1.277407,4.0,rhoCentralFoam,107,R1,4.51,-0.21948515999999998,-0.14632344,0.21176136,0.14117424,-1.2362376,-0.8241584,R1
14155.0,0.3024469,0.1520651,0.1503818,-0.1875704,-1.143181,0.9556107,-1.049396,0.0008416444,1.90548,-0.4226286,1.694166,-2.116795,4.0,rhoCentralFoam,34,R1,0.6,-0.22508447999999998,-0.15005632000000002,0.36293628,0.24195752000000004,-1.2592752,-0.8395168000000001,R1
16141.0,0.3258586,0.1645696,0.161289,-0.169483,-1.060768,0.8912849,-0.9760264,0.001640325,1.881269,-0.4136801,1.674429,-2.088109,4.0,rhoCentralFoam,43,R1,0.9,-0.2033796,-0.1355864,0.39103032,0.26068688,-1.17123168,-0.78082112,R1
25268.0,0.3926305,0.1978406,0.1947899,-0.1653857,-1.057552,0.8921664,-0.9748593,0.001525378,2.046959,-0.377389,1.858264,-2.235653,4.0,rhoCentralFoam,46,R1,0.99,-0.19846284,-0.13230856,0.4711566,0.3141044,-1.16983116,-0.77988744,R1
14538.0,0.4377243,0.219291,0.2184333,-0.16092,-1.062834,0.9019145,-0.9823744,0.000428852,1.551417,-0.2771559,1.41284,-1.689995,4.0,rhoCentralFoam,49,R1,1.1,-0.193104,-0.12873600000000002,0.52526916,0.35017944,-1.1788492799999999,-0.7858995200000001,R1
100000.0,0.408299,0.2045632,0.2037357,-0.2741315,-1.647058,1.372927,-1.509993,0.0004137593,-0.6730823,0.03532688,-0.6554189,0.6907458,4.0,rhoCentralFoam,61,R1,1.67,-0.32895779999999997,-0.21930519999999998,0.4899588,0.3266392,-1.8119915999999998,-1.2079944,R1
300000.0,0.1764678,0.08951207,0.08695572,-0.1829043,-1.12165,0.9387456,-1.030198,0.001278172,-1.207645,0.1395236,-1.137883,1.277407,4.0,rhoCentralFoam,107,R1,4.51,-0.21948515999999998,-0.14632344,0.21176136,0.14117424,-1.2362376,-0.8241584,R1
14155.0,0.3024469,0.1520651,0.1503818,-0.1875704,-1.143181,0.9556107,-1.049396,0.0008416444,1.90548,-0.4226286,1.694166,-2.116795,4.0,rhoCentralFoam,34,R1,0.6,-0.22508447999999998,-0.15005632000000002,0.36293628,0.24195752000000004,-1.2592752,-0.8395168000000001,R1
16141.0,0.3258586,0.1645696,0.161289,-0.169483,-1.060768,0.8912849,-0.9760264,0.001640325,1.881269,-0.4136801,1.674429,-2.088109,4.0,rhoCentralFoam,43,R1,0.9,-0.2033796,-0.1355864,0.39103032,0.26068688,-1.17123168,-0.78082112,R1
25268.0,0.3926305,0.1978406,0.1947899,-0.1653857,-1.057552,0.8921664,-0.9748593,0.001525378,2.046959,-0.377389,1.858264,-2.235653,4.0,rhoCentralFoam,46,R1,0.99,-0.19846284,-0.13230856,0.4711566,0.3141044,-1.16983116,-0.77988744,R1
14538.0,0.4377243,0.219291,0.2184333,-0.16092,-1.062834,0.9019145,-0.9823744,0.000428852,1.551417,-0.2771559,1.41284,-1.689995,4.0,rhoCentralFoam,49,R1,1.1,-0.193104,-0.12873600000000002,0.52526916,0.35017944,-1.1788492799999999,-0.7858995200000001,R1
100000.0,0.408299,0.2045632,0.2037357,-0.2741315,-1.647058,1.372927,-1.509993,0.0004137593,-0.6730823,0.03532688,-0.6554189,0.6907458,4.0,rhoCentralFoam,61,R1,1.67,-0.32895779999999997,-0.21930519999999998,0.4899588,0.3266392,-1.8119915999999998,-1.2079944,R1
300000.0,0.1764678,0.08951207,0.08695572,-0.1829043,-1.12165,0.9387456,-1.030198,0.001278172,-1.207645,0.1395236,-1.137883,1.277407,4.0,rhoCentralFoam,107,R1,4.51,-0.21948515999999998,-0.14632344,0.21176136,0.14117424,-1.2362376,-0.8241584,R1
